Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Maren;Noller;1978;FDP;;HB;3
Veronika;Nolte;1955;SPD;;NW;62
Thomas;Nord;1957;DIE LINKE;64;BB;2
Dr. Konstantin;Notz von;1971;GRÜNE;10;SH;2
Dominique Julien;Nou;1987;SPD;;BY;52
Omid;Nouripour;1975;GRÜNE;183;HE;2
Janus;Nowak;1978;NPD;260;BW;2
Kim;Nowak;1983;REP;176;;
Dr. Hannedore;Nowotny;1952;SPD;246;BY;28
Peter Willy;Nürnberger;1949;NPD;;TH;1
Dr. Arnulf;Nüßlein;1937;GRÜNE;39;;
Dr. Georg;Nüßlein;1969;CSU;255;;
Joachim;Numberger;1959;REP;;BW;15
Erich Volker;Oberhausen;1959;CDU;;SL;22
Dr. Hans Günther;Oberlack;1956;FDP;;BB;10
Franz;Obermeier;1946;CSU;215;;
Marc-Ernst;Oberscheid;1962;FDP;294;BW;36
Monika;Obieray;1952;GRÜNE;;SH;5
Tanja;Och;1974;ödp;240;BY;29
Holger;Odenthal;1967;NPD;154;;
Kay;Oelke;1959;NPD;10;SH;5
Thomas;Oelmayer;1954;GRÜNE;292;;
Cornelia;Östereich;1961;SPD;;SH;13
Frank;Oettler;1966;MLPD;73;ST;3
Dirk;Oetzel;1970;SPD;;HE;36
Cem;Özdemir;1965;GRÜNE;258;;
Aydan;Özoguz;1967;SPD;;HH;2
Rolf;Offermann;1960;FDP;64;BB;5
Silvia;Ofori;1956;DIE LINKE;268;;
René;Ohnemüller;1968;FAMILIE;242;BY;8
Elke;Olbrich-Tripp;1956;GRÜNE;151;;
Heinrich Herbert;Oldenburg;1941;FAMILIE;;NW;5
Ralf Günther Josef;Ollert;1960;NPD;;BY;1
Klaus;Opitz;1942;REP;178;HE;8
Wilfried;Opitz;1951;REP;;BB;5
Thomas;Oppermann;1954;SPD;54;NI;5
Holger;Ortel;1951;SPD;29;NI;9
Lutz;Oschmann;1948;GRÜNE;5;;
Petra;Osinski;1944;GRÜNE;22;HH;5
Lukas;Oßwald;1966;DIE LINKE;283;;
Friedrich;Ostendorff;1953;GRÜNE;145;NW;14
Olaf Michael;Ostertag;1969;DIE LINKE;80;BE;8
Dr. Volker;Ostheimer;1968;SPD;;SL;20
Eduard;Oswald;1947;CSU;253;;
Dr. Hermann;Ott;1961;GRÜNE;103;NW;12
Henning;Otte;1968;CDU;45;NI;19
Matthias;Ottmar;1981;REP;182;HE;7
Birgit;Otto;1957;CDU;;HE;26
Hans-Joachim;Otto;1952;FDP;182;HE;4
Stephanie Irmgard Gertrud;Otto;1963;GRÜNE;202;;
Severin;Pabsch;1988;SPD;;HH;9
Eveline;Päßler;1963;CDU;;SL;11
Ulrich;Pätzold;1959;NPD;165;;
Rodolfo;Panetta;1952;REP;;BW;4
Rolf;Pannicke;1969;DIE LINKE;227;;
Karsten;Panzer;1970;NPD;235;;
Eva Anna;Parbs;1948;FDP;;HH;10
Andreas;Parr;1971;SPD;247;BY;31
Udo;Pastörs;1952;NPD;13;MV;1
Petra;Pau;1963;DIE LINKE;86;BE;2
Dr. Michael;Paul;1964;CDU;95;NW;55
Heinz;Paula;1951;SPD;252;BY;7
Stephan;Paule;1977;CDU;;HE;42
Wolfgang Ludwig Max;Pauli;1936;DIE LINKE;140;;
Elisabeth;Paus;1968;GRÜNE;81;BE;3
Eva;Pauser;1983;CDU;;RP;26
Anke;Pavlicek;1977;GRÜNE;168;HE;11
Rita;Pawelski;1948;CDU;42;NI;9
Alfred;Pecha;1959;FDP;225;BY;55
Dirk;Peddinghaus;1962;SPD;;SH;21
Irmgard;Pehle;1953;GRÜNE;134;NW;17
Christian;Peiker;1984;DIE LINKE;213;;
Marie-Luise;Pelick;1964;REP;;NW;11
Bernd-Dieter;Pellmann;1942;RENTNER;;NW;4
Dorit Emmy Beate;Pentz von;1950;MLPD;;NI;4
Hannes;Pentz von;1979;MLPD;;NI;1
Wolfgang;Penzler;1943;Tierschutz;;HE;2
Bernhard;Perrefort;1954;DIE LINKE;128;;
Rainer;Perschewski;1963;DKP;83;BE;1
Josef;Perschl;1954;BüSo;;BY;9
David;Perteck;1977;ödp;23;HH;1
Jürgen;Peter;1956;;3;;
David;Petereit;1981;NPD;;MV;4
Jens;Petermann;1963;DIE LINKE;197;TH;6
Frank;Peters;1966;GRÜNE;209;RP;8
Martin;Peters;1983;SPD;89;NW;31
Klaus Günter;Petersdorf;1964;PIRATEN;;SH;1
Jörg;Petersen;1960;FDP;1;;
Olaf;Petersen;1965;;169;;
Christian;Petry;1965;SPD;;SL;31
Anke;Petters;1960;GRÜNE;78;;
Harald;Petzold;1962;DIE LINKE;59;BB;6
Karsten;Petzold;1962;DVU;;BB;4
Ulrich;Petzold;1951;CDU;71;ST;4
Markus;Peuschel;1975;;165;;
Andrea;Pfäfflin;1956;SPD;;HE;25
Alfred;Pfannebecker;1955;DIE LINKE;297;SL;7
Janina;Pfau;1983;DIE LINKE;167;SN;11
Klaus;Pfeifer;1956;;82;;
Dr. Joachim;Pfeiffer;1967;CDU;264;;
Michael;Pfeiffer;1946;VIOLETTEN;;BW;5
Oskar;Pfeiffer;1933;DVU;;BY;2
Sibylle;Pfeiffer;1951;CDU;173;HE;6
Prof. Dr. Thomas;Pfeiffer;1961;CDU;;HE;27
Karl-Heinz Rudolf;Pfirrmann;1945;NPD;212;RP;9
Gerhard;Pfisterer;1948;MLPD;143;NW;3
Tanja;Pfisterer;1986;ödp;238;BY;30
Stephan;Pfitzer;1984;NPD;;BW;6
Johannes Andreas;Pflug;1946;SPD;117;NW;69
Beatrix;Philipp;1945;CDU;108;NW;12
Matthias;Phlak;1964;DIE LINKE;;TH;10
Peter Hartmut;Pichl;1980;NPD;194;;
Erich;Pichlmeier;1935;BP;;BY;33
Hans Joachim;Picker;1938;RENTNER;;HH;3
Jochen;Piehl;1973;ödp;;RP;6
Siegfried;Pielsticker;1943;RRP;223;BY;19
Cornelia;Pieper;1959;FDP;73;ST;1
Hans-Heinrich;Piepgras;1961;PIRATEN;;SH;5
Britta;Pietsch;1963;DIE LINKE;112;NW;13
Gisela;Piltz;1964;FDP;107;NW;2
Thomas;Pinkert;1957;GRÜNE;167;;
Denis;Pinzke;1982;SPD;18;MV;6
Christian;Piovano;1986;CDU;;BW;31
Richard;Pitterle;1959;DIE LINKE;260;BW;6
Sarah;Plack;1989;DIE LINKE;;BY;11
Hans;Plate;1963;GRÜNE;250;BY;14
Klaus;Plessing;1953;PBC;;BY;2
Eduard;Plischka;1949;NPD;138;;
Yvonne;Ploetz;1984;DIE LINKE;;SL;3
Karsten;Plotzki;1970;DIE LINKE;;NI;28
Frederik;Poetsch;1979;REP;187;;
Johannes;Pöttering;1977;CDU;;NI;32
Ronald;Pofalla;1959;CDU;113;NW;2
Markus;Pohl;1980;NPD;125;;
Matthias;Pohl;1980;NPD;129;;
Walter;Pohl;1953;BP;;BY;34
Wolfgang;Pohlmann;1940;REP;;NW;3
Christoph;Poland;1949;CDU;18;MV;6
Winfried;Polch;1941;FDP;127;NW;55
Herbert;Polei;1951;;81;;
Ruprecht;Polenz;1946;CDU;130;NW;11
Jörg;Polheim von;1959;FDP;100;NW;21
Dr. Hans-Ingo;Pollern von;1946;CDU;;BW;62
Dirk Thorsten;Polly;1971;PIRATEN;;BY;5
Eckhard;Pols;1962;CDU;38;NI;25
Matthias;Polt;1980;NPD;226;;
Helmut;Polzer;1937;RRP;;BY;1
Alice-Sarah;Polzer-Storek;1978;GRÜNE;58;;
Ingo;Ponickau;1982;PIRATEN;;BY;7
Andreas;Popp;1983;PIRATEN;;BY;1
Maike;Porray;1965;;214;;
Prof. Dr. Peter;Porsch;1944;DIE LINKE;152;;
Dr. Thomas;Portz;1965;CDU;102;NW;51
Sebastian-Gabriel;Poschinger-Bray Freiherr von;1985;FDP;;BY;56
Joachim;Poß;1948;SPD;124;NW;56
Achim;Post;1959;SPD;135;;
Michael;Post;1961;DIE LINKE;207;;
Michael;Postel;1983;FDP;122;;
Brigitte;Pothmer;1955;GRÜNE;49;NI;1
Helmut;Pozimski;1990;PIRATEN;;BY;6
Daniel;Poznanski;1971;FDP;144;NW;35
Timo;Pradel;1971;NPD;151;NW;9
Wilfried;Präger;1951;SPD;195;TH;10
Karl-Heinz;Pramor;1946;BüSo;;NW;10
Uwe;Pranghofer;1962;FDP;254;BY;26
Elke;Preetorius;1943;MLPD;;BY;2
Dirk Friedrich;Presch;1959;SPD;;NW;59
Friedrich;Preuß;1943;NPD;52;;
Joachim Jürgen;Preuß;1942;RRP;252;;
Walter;Price;1967;ödp;254;BY;31
Peter Jürgen;Pricelius;1938;REP;;HB;1
Christoph;Pries;1958;SPD;127;NW;26
Michaela;Pries;1966;CDU;5;SH;3
Dr. Wilhelm;Priesmeier;1954;SPD;53;NI;30
Martin;Pröhl;1935;Tierschutz;;NI;6
Wilhelm;Pröhl;1935;Tierschutz;;NI;7
Richard;Progl;1979;BP;;BY;35
Florian;Pronold;1972;SPD;230;BY;1
Friederike;Prüll;1963;Tierschutz;183;HE;7
Max;Prümm;1978;CDU;;RP;22
Peter;Przybylo;1944;RENTNER;;NW;9
Rudolf;Puckl;1946;BP;;BY;7
Jens;Pühse;1972;NPD;153;SN;3
Yanki;Pürsün;1972;FDP;;HE;33
Lasse;Pütz;1981;SPD;101;NW;63
Heinz-Detlev;Puff;1957;SPD;;SL;19
Alexander;Pusch;1978;BüSo;;BE;9
Lucia;Puttrich;1961;CDU;177;HE;14
Jan-Henner;Putzier;1984;SPD;;NI;52
Guido;Quadfasel;1963;CDU;57;BB;10
Lars Christoph;Quaquil;1981;CDU;;NI;43
Stefan;Quehl;1975;FDP;239;BY;43
Dr. Christina;Quellmann;1961;CDU;;SH;28
Maria Sabina;Quijano-Burchardt;1962;GRÜNE;;RP;13
Birgit;Raab;1964;GRÜNE;245;BY;17
Daniela;Raab;1975;CSU;223;BY;13
Dr. Sascha;Raabe;1968;SPD;180;HE;10
Uwe;Raake;1953;BüSo;82;;
Dr.-Ing. habil. Simone;Raatz;1962;SPD;162;SN;6
Martin;Rabanus;1971;SPD;178;HE;16
Stefan;Rabel;1964;CDU;;SL;5
Thomas;Rachel;1962;CDU;91;NW;14
Andreas;Rademachers;1985;FDP;90;NW;31
Harald;Raderschadt;1970;PBC;;BY;6
Gabriele;Radloff;1961;;14;;
Kerstin;Radomski;1974;CDU;115;NW;27
Martin;Radtke;1979;NPD;169;;
Helmut;Radunski;1948;NPD;3;;
Dr. Kersten;Radzimanowski;1948;NPD;60;BB;4
Ülker;Radziwill;1966;SPD;;BE;9
Jürgen;Raemdonck van;1952;;16;;
Raimar;Rätzel;1971;;65;;
Maria;Räuschel;1936;BüSo;31;;
Günther;Ragg;1957;NPD;288;;
Georg;Raischl;1956;CM;;BY;3
Dr. Peter;Ramsauer;1954;CSU;225;BY;1
Wolf;Ranfft;1941;RRP;245;;
Benjamin;Raschke;1982;GRÜNE;63;BB;2
Dr. Cordula;Ratajczak;1964;GRÜNE;157;SN;5
Andreas;Ratanski;1976;PIRATEN;;ST;3
Martin;Rath;1963;DIE LINKE;127;;
Dr. Christiane;Ratjen-Damerau;1954;FDP;28;NI;10
Ruth;Ratter;1955;GRÜNE;;RP;11
Doris;Rau;1959;CDU;;HE;34
Marie-Luise;Rau-Stoll;1950;SPD;;HE;30
Gabriele Maria;Rauber;1954;CDU;;SL;12
Michael;Rauschenbach;1966;REP;;BE;3
Mechthild;Rawert;1957;SPD;82;BE;4
Siegfried;Reball;1954;NPD;133;;
Kai;Rebmann;1982;PBC;279;;
Stefan;Rebmann;1962;SPD;275;BW;17
Daniel;Rech;1983;DVU;;RP;3
Lutz Rüdiger;Recknagel;1966;FDP;197;;
Nina;Rectenwald;1990;FDP;;SL;12
Bärbel;Redlhammer-Raback;1954;DVU;;BB;3
Manfred;Reetnitz von;1955;REP;;HE;4
Imanuel;Regehly;1923;NPD;;BE;7
Dr. Thomas;Rehahn;1953;GRÜNE;187;HE;22
Eckhardt Harald;Rehberg;1954;CDU;17;MV;2
Katherina;Reiche;1973;CDU;62;BB;1
Sebastian;Reiche;1983;NPD;192;;
Steffen;Reiche;1960;SPD;65;BB;5
Julia;Reichel;1972;Die Tierschutzpartei;182;;
Maik;Reichel;1971;SPD;74;ST;7
Gerold;Reichenbach;1953;SPD;184;HE;9
Marcus;Reichenberg;1975;GRÜNE;226;;
Brigitte;Reifschneider-Groß;1951;FDP;;HE;25
Dr. Carola;Reimann;1967;SPD;51;NI;17
Hermann Hans Hajo;Reinders;1952;CDU;;NI;34
Rosa Maria;Reindl;1966;ödp;214;BY;10
Dr. Birgit;Reinemund;1959;FDP;275;BW;11
Marion;Reinert;1976;NPD;122;NW;10
Johannes;Reinhard;1985;CSU;;BY;53
Fabio;Reinhardt;1980;PIRATEN;;NI;3
Manfred;Reinhart;1964;ödp;242;BY;32
Hagen;Reinhold;1978;FDP;14;MV;2
Elke;Reinke;1958;DIE LINKE;69;ST;7
Ralf;Reinstädtler;1966;DIE LINKE;299;;
Oliver;Reising;1970;DIE LINKE;;NW;20
Hans-Jürgen;Reitmeyer;1953;GRÜNE;126;;
Axel;Reitz;1983;NPD;92;NW;11
Reinhold;Reker;1935;ADM;;BW;5
Ingrid Liselotte;Remmers;1965;DIE LINKE;;NW;9
Karsten;Renfordt;1963;DIE LINKE;151;;
Gabriele;Renner;1965;VIOLETTEN;;BY;8
Rita;Renner;1958;MLPD;;ST;4
Astrid;Renner-Knopp;1969;CSU;;BY;49
Hans-Jörg;Rennert;1941;RRP;;NW;4
Christine;Renz;1975;Tierschutz;;BW;2
Dr. Wolfgang;Ressmann;1958;SPD;209;RP;13
Hans-Jürgen;Rettig;1950;;61;;
Volker;Reusch;1970;ZENTRUM;;NW;4
Volker;Reusing;1971;ödp;;NW;14
Dr. Alexander;Reuter;1967;FDP;293;;
Marion;Reuther;1953;SPD;251;BY;24
Fabian;Reymann;1979;PSG;;BE;2
Ingrid;Reynders;1947;RENTNER;;NW;10
Bernhard;Richter;1943;ödp;285;BW;2
Hartmut Manfred;Richter;1944;;160;;
Dr. Jörg;Richter;1969;FDP;277;BW;19
Thomas;Richter;1969;FDP;159;SN;12
Wera;Richter;1969;DKP;;BE;2
Marie-Luise;Richtermeier;1947;VIOLETTEN;;BE;2
Roland;Richwien;1955;CDU;194;TH;5
Matthias;Riebesam;1964;;269;;
Lothar;Riebsamen;1957;CDU;293;;
Hans-Ulrich;Riedel;1955;DIE LINKE;81;BE;12
Albert;Riedelsheimer;1966;GRÜNE;254;;
Laszlo;Riedl;1972;FDP;249;BY;44
Peter Hans;Riedl;1948;RRP;232;BY;12
Michael;Riedmaier;1969;Volksabst.;;NW;8
Josef;Rief;1960;CDU;292;;
Ricarda;Riefling;1983;NPD;49;NI;3
Jürgen;Rieg;1968;FDP;270;BW;35
Stefan;Riegel;1985;PIRATEN;;ST;6
Daniela;Rieger;1976;Tierschutz;;NI;8
Jürgen;Rieger;1946;NPD;19;HH;1
Rudolf;Rieger;1957;NPD;252;;
Klaus;Riegert;1959;CDU;263;BW;11
Knut Erwin;Ries;1955;CSU;;BY;60
Prof. Dr. Heinz;Riesenhuber;1935;CDU;181;HE;2
Eva Michaela;Riesterer;1961;SPD;;BY;46
Nanni Karoline;Rietz-Heering;1956;DIE LINKE;;NI;14
Stefan;Ringer;1956;SPD;;HE;29
Helmut Günther;Ringger;1955;;271;;
Adelbert;Ringwald;1965;DIE LINKE;282;;
Daniela;Rinkenberger;1972;Die Tierschutzpartei;185;;
Ulrich;Rippert;1951;PSG;;BE;1
Peter Otto Arthur;Rippler;1949;RRP;;BY;15
Iris;Ripsam;1959;CDU;;BW;19
Jürgen;Rischar;1944;SPD;;SL;24
Matthias;Ritter;1950;REP;;TH;4
Nicole;Ritter;1974;SPD;181;HE;17
Peter;Ritter;1959;DIE LINKE;16;MV;4
Sönke;Rix;1975;SPD;4;SH;5
Mark;Roach;1955;DIE LINKE;24;;
Walter;Robbe;1939;PBC;280;;
Wolfgang;Rochner;1941;NPD;228;;
Marcus;Rodewald;1975;FDP;;HB;4
Renate;Rodriguez Gómez;1941;RRP;42;NI;5
René;Rodriguez-Teufer;1974;NPD;208;RP;5
Alois;Röbosch;1958;REP;;RP;3
Hildegard;Röder;1942;RRP;;BY;6
Harald;Röhl;1962;NPD;147;;
Walter Franz;Röhling;1944;RRP;;BY;17
Dr. Peter;Röhlinger;1939;FDP;194;TH;2
Carolin;Röhrig;1982;CDU;;SL;16
Christina;Roemer;1965;SPD;;TH;12
Christian;Römhild;1983;CDU;64;BB;8
Christian;Röner;1966;GRÜNE;150;;
Johannes;Röring;1959;CDU;127;;
Sabine;Rösch-Dammenmiller;1962;DIE LINKE;263;BW;13
Dr. Bernd;Rösel;1964;FDP;257;BY;49
René;Röspel;1964;SPD;139;NW;39
Tabea;Rößner;1966;GRÜNE;206;RP;3
Brigitta Marita;Röthig-Wentz;1962;FDP;210;RP;12
Dr. Norbert;Röttgen;1965;CDU;99;NW;5
Thomas;Röver;1963;DIE LINKE;51;NI;25
Nicole Elisabeth;Rohde;1980;NPD;128;;
Frank Roland Otto;Rohleder;1950;NPD;164;;
Stefan;Rohmann;1984;FDP;89;NW;46
Claas Heinrich Remmert;Rohmeyer;1971;CDU;;HB;4
Patricia Katharina;Rohrbach;1953;MLPD;;NW;19
Heidi;Rohrlack;1946;GRÜNE;253;;
Margit Ricarda;Rolf;1953;ödp;;HH;6
Andreas;Roll;1967;GRÜNE;266;;
Thorsten;Rollman;1969;CSU;;BY;58
Dr. Eckart;Rolshoven;1951;FDP;;SL;5
Christine;Rorich;1937;NPD;242;;
Clemens Josef;Roschka;1961;ödp;;TH;4
Margarete;Rose;1948;RRP;45;NI;2
Dr. Olaf Volker Bernhard;Rose;1958;NPD;159;SN;1
Dr. Martin;Rosemann;1976;SPD;290;BW;20
Ingeborg;Rosemann-Kallweit;1951;CDU;;RP;31
Josef;Rosner;1955;GRÜNE;227;;
Karl Josef;Roß;1950;DVU;;NW;2
Dr. Ernst Dieter;Rossmann;1951;SPD;7;SH;1
Sascha;Roßmüller;1972;NPD;231;BY;2
Claudia;Roth;1955;GRÜNE;252;BY;1
Heinz-Walter;Roth;1949;FDP;211;RP;8
Jürgen;Roth;1956;GRÜNE;;BE;8
Karin;Roth;1949;SPD;261;BW;6
Michael;Roth;1970;SPD;170;HE;2
Bodo;Rothe;1957;;191;;
Judith;Rothe;1979;NPD;75;ST;6
Astrid;Rothe-Beinlich;1973;GRÜNE;;TH;3
René;Rothhanns;1981;NPD;93;;
Dr. Christian;Ruck;1954;CSU;252;BY;21
Daniel;Rudloff;1979;FDP;190;;
Heinz;Rudolf;1955;NPD;218;;
Dr. Karsten;Rudolph;1962;SPD;148;NW;23
Dr. Eva-Brigitte;Rudolph-Heger;1934;CDU;;NI;33
Andreas;Rückert;1975;;250;;
Reinhold;Rückert;1948;DIE LINKE;247;;
Erwin Josef;Rüddel;1955;CDU;198;RP;13
Peter;Rügner;1966;MLPD;267;BW;13
Brigitta Barbara;Rühle;1956;CDU;;SN;9
Nelly;Rühle;1979;NPD;273;BW;10
Arne;Rüstemeier;1976;CDU;;SH;20
Susann;Rüthrich;1977;SPD;156;;
Bernd;Rützel;1968;SPD;249;BY;40
Katja;Ruiters;1963;GRÜNE;98;;
Brigitta;Runge;1962;DIE LINKE;44;NI;22
Bärbel;Rupp;1959;FAMILIE;;SL;5
Jörg;Rupp;1966;GRÜNE;272;BW;20
Klaus-Rainer Heinrich Wilhelm;Rupp;1955;DIE LINKE;55;;
Michael;Ruppert;1946;FDP;105;NW;39
Dr. Stefan;Ruppert;1971;FDP;176;HE;6
Albert;Rupprecht;1968;CSU;235;BY;22
Johannes;Rupprecht;1952;MLPD;244;BY;3
Marlene Dorothe Henriette;Rupprecht;1947;SPD;243;BY;10
Hartmut;Rusin;1951;;14;;
Wolfgang;Rußkamp;1955;CDU;134;NW;42
Christa;Rust;1944;Tierschutz;177;HE;3
Dieter;Rust;1966;SPD;;SL;21
Bert;Rutkowsky;1970;Tierschutz;;BE;3
Anna;Rutz;1967;GRÜNE;223;;
Sarah Janina;Ryglewski;1983;SPD;;HB;4
Volker;Sachs;1934;NPD;174;HE;2
Wilhelm;Sälinger;1941;;284;;
Björn;Sänger;1975;FDP;168;HE;7
Bastian Johannes;Saffer;1983;Freie Union;243;;
Rüdiger;Sagel;1955;DIE LINKE;148;;
Krista;Sager;1953;GRÜNE;21;HH;1
Christoph Daniel;Sahm;1974;SPD;;NI;35
Rasched;Salem;1963;FDP;;HE;28
Matthias;Salomon;1947;MLPD;;SH;2
Franz;Salzberger;1952;NPD;;BY;9
Bernhard;Sander;1955;DIE LINKE;103;;
Daniel;Sander;1973;CDU;281;BW;7
Maik;Sandmüller;1977;PIRATEN;;ST;7
Mike;Sandow;1971;NPD;58;BB;7
Sabine;Saphörster-Heimbach;1962;CSU;;BY;50
Manuel;Sarrazin;1982;GRÜNE;24;HH;2
Helmut;Saß;1958;NPD;23;;
Ronald;Saß;1961;;20;;
Michael Willy;Sauer;1964;CSU;;BY;41
Theo;Sauer;1955;CDU;;BW;44
Herbert;Sauter;1955;REP;;BW;5
Matthias;Sauter;1958;MLPD;;NI;8
Annette;Sawade;1953;SPD;268;BW;18
Anton;Schaaf;1962;SPD;119;NW;57
Christian;Schaarschmidt;1971;REP;;BB;2
Dr. Hans-Joachim;Schabedoth;1952;SPD;176;HE;14
Stefan;Schade;1960;;290;;
Regina Klothild;Schadwinkel;1938;ödp;;NI;5
Reinhold;Schäben;1960;NPD;109;;
Gerald Rudolf Hermann;Schädlich;1956;FDP;118;;
Andreas;Schäfer;1968;NPD;277;BW;5
Anita;Schäfer;1951;CDU;211;RP;7
Axel;Schäfer;1952;SPD;141;NW;52
Jürgen;Schäfer;1958;CDU;;BW;36
Dr. Maike;Schaefer;1971;GRÜNE;;HB;3
Michael;Schäfer;1982;NPD;;ST;2
Paul Georg;Schäfer;1949;DIE LINKE;97;NW;4
Uwe;Schäfer;1938;NPD;8;SH;1
Frank;Schäffler;1968;FDP;134;NW;11
Herbert;Schär;1949;MLPD;;BY;7
Anna-Katharina;Schättiger;1951;CDU;;SH;29
Helmut;Schätzlein;1958;;248;;
Jürgen;Schäuble;1963;MLPD;;RP;4
Dr. Wolfgang;Schäuble;1942;CDU;284;BW;1
Gerhard;Schaffarczyk;1957;BP;;BY;37
Markus;Schalk;1949;DIE LINKE;33;NI;12
Dr. Rainer;Schanne;1942;ödp;;RP;10
Peter;Schantz;1977;FDP;81;BE;8
Dr. Marcus;Schaper;1973;GRÜNE;47;;
Karl-Heinz;Schappert;1944;ADM;;BW;7
Tim;Schardelmann;1969;FDP;35;NI;17
Marion;Schardt;1970;FDP;;HE;24
Elisabeth;Scharfenberg;1963;GRÜNE;239;BY;7
Alexander;Scharff;1984;DIE LINKE;189;TH;8
Ursula;Schauws;1966;GRÜNE;115;NW;15
Dr. Annette;Schavan;1955;CDU;291;BW;2
Karl;Schedlbauer;1951;BP;253;BY;36
Christine;Scheel;1956;GRÜNE;247;BY;3
Bernd;Scheelen;1948;SPD;111;NW;13
Dr. Hermann;Scheer;1944;SPD;264;BW;8
Friedrich;Scheerer;1958;SPD;286;BW;34
Maik;Scheffler;1974;NPD;;SN;5
Marco;Scheffler;1967;;21;;
Martin;Scheibe;1989;REP;;SN;8
Andreas;Scheibleger;1987;PIRATEN;;BY;9
Matthias;Scheibleger;1989;PIRATEN;;BY;11
Katharina;Scheinert;1980;;294;;
Gerhard;Schelle;1943;NPD;244;;
Julia;Scheller;1982;MLPD;;BW;2
Pia;Schellhammer;1985;GRÜNE;207;RP;5
Karsten;Schenk;1976;CDU;;HE;46
Dr. Frank;Schepke;1935;;6;;
Mark;Schepke;1966;;8;;
Prof. Dr. Dr. Christian;Scherer;1956;CDU;;NI;46
Philipp;Scherer;1984;PIRATEN;208;;
Ursula;Scherer;1937;CDU;;BW;43
Heidemarie;Scheuch-Paschkewitz;1959;DIE LINKE;171;HE;5
Dr. Andreas;Scheuer;1974;CSU;229;;
David;Schichel;1981;GRÜNE;104;;
Dr. Gerhard;Schick;1972;GRÜNE;275;BW;4
Jens-Wolfhard;Schicke;1987;PIRATEN;51;NI;5
Alois;Schieber;1964;BüSo;217;BY;11
Marianne;Schieder;1962;SPD;234;BY;6
Werner;Schieder;1948;SPD;235;BY;15
Udo;Schiefner;1959;SPD;112;NW;21
Nico;Schiemann;1979;NPD;272;;
Cornelia;Schiergott;1956;CDU;;ST;12
Karl Richard Maria;Schiewerling;1951;CDU;128;;
Hans Lothar;Schiffer;1939;FDP;104;NW;34
Barbara;Schilke;1953;MLPD;;MV;1
Albert;Schill;1946;CDU;;SN;11
Dr. Konrad;Schily;1937;FDP;140;;
Wolfgang;Schimmel;1962;NPD;4;SH;7
Gabriela;Schimmer-Göresz;1952;ödp;;BY;8
Herold Albert;Schincke;1951;;122;;
Jörg;Schindler;1972;DIE LINKE;71;ST;8
Norbert;Schindler;1949;CDU;209;RP;5
Tankred;Schipanski;1976;CDU;192;TH;7
Georg;Schirmbeck;1949;CDU;39;NI;24
Alexander;Schirrah;1969;SPD;;SL;7
Tobias;Schläger;1984;SPD;;TH;11
Britta Sylvia;Schlage;1956;SPD;;HH;6
Richard;Schlappa;1949;DIE LINKE;246;;
Michael;Schlecht;1951;DIE LINKE;275;BW;4
Laura;Schlegelberger;1983;CDU;;SH;16
Paul Friedrich Georg Martin;Schlesinger;1947;MLPD;123;;
Gudrun;Schlett;1961;DIE LINKE;245;BY;9
Gertraude;Schlierer;1928;REP;;BW;17
Dr. Rolf;Schlierer;1955;REP;;BW;1
Hanns-Dieter;Schlierf;1954;ödp;226;BY;12
Bernd;Schlitter-Bankloh;1942;MLPD;;NW;14
Klaus-Dieter;Schlottmann;1949;PBC;46;;
Bärbel;Schlude;1976;REP;;BY;22
Andrew;Schlüter;1967;MLPD;83;BE;1
Sanja;Schlüter;1977;MLPD;;BE;7
Philipp;Schmagold;1979;GRÜNE;170;HE;24
Andreas;Schmalcz;1965;CSU;;BY;57
Brigitte;Schmid;1952;GRÜNE;291;;
Hans;Schmid;1942;CDU;;RP;23
Walter;Schmid;1953;DIE LINKE;291;;
Werner;Schmidberger;1937;ADM;;BW;6
Michaela;Schmidinger;1969;DVU;;BW;1
Andreas;Schmidt;1956;CDU;119;NW;26
Birger;Schmidt;1973;PIRATEN;241;;
Carina;Schmidt;1986;FDP;276;BW;21
Christel;Schmidt;1936;REP;;RP;2
Christian;Schmidt;1957;CSU;243;BY;12
Dagmar;Schmidt;1973;SPD;173;HE;12
Edda;Schmidt;1948;NPD;290;BW;3
Ekkehard;Schmidt;1946;SPD;;HE;39
Franz;Schmidt;1974;FDP;217;BY;48
Dr. Frithjof;Schmidt;1953;GRÜNE;141;NW;4
Gabriele;Schmidt;1956;CDU;;BW;17
Hans;Schmidt;1939;NPD;295;;
Heiko;Schmidt;1988;GRÜNE;249;;
Ingrid;Schmidt;1938;CM;;BY;6
Karlheinz;Schmidt;1941;CM;;BY;2
Marion Beate Friederike;Schmidt;1954;MLPD;;BY;10
Miriam;Schmidt;1980;SPD;;NW;42
Renate;Schmidt;1959;MLPD;;BW;14
Rudolf;Schmidt;1967;PBC;;HB;5
Rudolf Lothar;Schmidt;1951;DIE LINKE;162;SN;15
Silvia;Schmidt;1954;SPD;75;ST;3
Stefan;Schmidt;1985;SPD;;SL;16
Tim;Schmidt;1969;PIRATEN;;BE;5
Ulla;Schmidt;1949;SPD;88;NW;4
Lars;Schmidt-Berg;1978;CDU;;NI;38
Ekkehard Arno Walter;Schmidt-Riediger;1939;CDU;;NI;35
Christiane;Schmidt-Rose;1959;CDU;;TH;10
